10700.000000 -57330
10700.100000 -57565
10700.200000 -57518
10700.300000 -57518
10700.400000 -57237
10700.500000 -57752
10700.600000 -57471
10700.700000 -57565
10700.800000 -57096
10700.900000 -57471
10701.000000 -57147
10701.100000 -57991
10701.200000 -57944
10701.300000 -57803
10701.400000 -57616
10701.500000 -57147
10701.600000 -57334
10701.700000 -57147
10701.800000 -57850
10701.900000 -57756
10702.000000 -57338
10702.100000 -57479
10702.200000 -57620
10702.300000 -57432
10702.400000 -57526
10702.500000 -57620
10702.600000 -57713
10702.700000 -57760
10702.800000 -58042
10702.900000 -57526
10703.000000 -58137
10703.100000 -57481
10703.200000 -57856
10703.300000 -57528
10703.400000 -57715
10703.500000 -57856
10703.600000 -57434
10703.700000 -57575
10703.800000 -58044
10703.900000 -56965
10704.000000 -57344
10704.100000 -57344
10704.200000 -57485
10704.300000 -58141
10704.400000 -57813
10704.500000 -57626
10704.600000 -57157
10704.700000 -57485
10704.800000 -57344
10704.900000 -57016
10705.000000 -57536
10705.100000 -57630
10705.200000 -57630
10705.300000 -57677
10705.400000 -57583
10705.500000 -58145
10705.600000 -56973
10705.700000 -57536
10705.800000 -57630
10705.900000 -57114
10706.000000 -56835
10706.100000 -57538
10706.200000 -57538
10706.300000 -57257
10706.400000 -57022
10706.500000 -57491
10706.600000 -56741
10706.700000 -57257
10706.800000 -56975
10706.900000 -56929
10707.000000 -57026
10707.100000 -57261
10707.200000 -57261
10707.300000 -56792
10707.400000 -57120
10707.500000 -57636
10707.600000 -57308
10707.700000 -57636
10707.800000 -56979
10707.900000 -57823
10708.000000 -56937
10708.100000 -57593
10708.200000 -57452
10708.300000 -57265
10708.400000 -57546
10708.500000 -57124
10708.600000 -57124
10708.700000 -57593
10708.800000 -56983
10708.900000 -57265
10709.000000 -58110
10709.100000 -57454
10709.200000 -57032
10709.300000 -56892
10709.400000 -57642
10709.500000 -56939
10709.600000 -56892
10709.700000 -57454
10709.800000 -58064
10709.900000 -57360
10710.000000 -56989
10710.100000 -57318
10710.200000 -56896
10710.300000 -57036
10710.400000 -57599
10710.500000 -57083
10710.600000 -57552
10710.700000 -56989
10710.800000 -57646
10710.900000 -57130
10711.000000 -56806
10711.100000 -57556
10711.200000 -57322
10711.300000 -57087
10711.400000 -57650
10711.500000 -57743
10711.600000 -56993
10711.700000 -57087
10711.800000 -57275
10711.900000 -57040
10712.000000 -57370
10712.100000 -57370
10712.200000 -57089
10712.300000 -57089
10712.400000 -56995
10712.500000 -57042
10712.600000 -57230
10712.700000 -56902
10712.800000 -57511
10712.900000 -57324
10713.000000 -57562
10713.100000 -57140
10713.200000 -57046
10713.300000 -57609
10713.400000 -57374
10713.500000 -56906
10713.600000 -56906
10713.700000 -57609
10713.800000 -57703
10713.900000 -57187
10714.000000 -57332
10714.100000 -56769
10714.200000 -57238
10714.300000 -57332
10714.400000 -57144
10714.500000 -57097
10714.600000 -57144
10714.700000 -56957
10714.800000 -57003
10714.900000 -56957
10715.000000 -57287
10715.100000 -57193
10715.200000 -57029
10715.300000 -57029
10715.400000 -57029
10715.500000 -57029
10715.600000 -57029
10715.700000 -56865
10715.800000 -57052
10715.900000 -57005
10716.000000 -57009
10716.100000 -57103
10716.200000 -56775
10716.300000 -56963
10716.400000 -57291
10716.500000 -57103
10716.600000 -57572
10716.700000 -56728
10716.800000 -57338
10716.900000 -57713
10717.000000 -56779
10717.100000 -57435
10717.200000 -56967
10717.300000 -57107
10717.400000 -56873
10717.500000 -56638
10717.600000 -56826
10717.700000 -57295
10717.800000 -57154
10717.900000 -56967
10718.000000 -56969
10718.100000 -56640
10718.200000 -57015
10718.300000 -57062
10718.400000 -56875
10718.500000 -57297
10718.600000 -57015
10718.700000 -56781
10718.800000 -56640
10718.900000 -56922
10719.000000 -57440
10719.100000 -56878
10719.200000 -57159
10719.300000 -57253
10719.400000 -57253
10719.500000 -56831
10719.600000 -56831
10719.700000 -56925
10719.800000 -56972
10719.900000 -57393
10720.000000 -56647
10720.100000 -56647
10720.200000 -56694
10720.300000 -56976
10720.400000 -57444
10720.500000 -56882
10720.600000 -56460
10720.700000 -56976
10720.800000 -56882
10720.900000 -56976
10721.000000 -56603
10721.100000 -56649
10721.200000 -56649
10721.300000 -56696
10721.400000 -56696
10721.500000 -56790
10721.600000 -56790
10721.700000 -56837
10721.800000 -57306
10721.900000 -57071
10722.000000 -56466
10722.100000 -56935
10722.200000 -56794
10722.300000 -56794
10722.400000 -56794
10722.500000 -56841
10722.600000 -56888
10722.700000 -56841
10722.800000 -56700
10722.900000 -56982
10723.000000 -56845
10723.100000 -56282
10723.200000 -57032
10723.300000 -57173
10723.400000 -56892
10723.500000 -56657
10723.600000 -57314
10723.700000 -57032
10723.800000 -56986
10723.900000 -57173
10724.000000 -56894
10724.100000 -56988
10724.200000 -56941
10724.300000 -56894
10724.400000 -56941
10724.500000 -56800
10724.600000 -56988
10724.700000 -57363
10724.800000 -56706
10724.900000 -56847
10725.000000 -56757
10725.100000 -56851
10725.200000 -57460
10725.300000 -56851
10725.400000 -56710
10725.500000 -57273
10725.600000 -56757
10725.700000 -57273
10725.800000 -56851
10725.900000 -56757
10726.000000 -57183
10726.100000 -56855
10726.200000 -56902
10726.300000 -56480
10726.400000 -56949
10726.500000 -56808
10726.600000 -56480
10726.700000 -56433
10726.800000 -57042
10726.900000 -56714
10727.000000 -56715
10727.100000 -56856
10727.200000 -56715
10727.300000 -57184
10727.400000 -56622
10727.500000 -56762
10727.600000 -56622
10727.700000 -56247
10727.800000 -56856
10727.900000 -56528
10728.000000 -56391
10728.100000 -57047
10728.200000 -56672
10728.300000 -56766
10728.400000 -56813
10728.500000 -56626
10728.600000 -57047
10728.700000 -56954
10728.800000 -57422
10728.900000 -56907
10729.000000 -56911
10729.100000 -56676
10729.200000 -56817
10729.300000 -56676
10729.400000 -56817
10729.500000 -56817
10729.600000 -56911
10729.700000 -56817
10729.800000 -57098
10729.900000 -56817
10730.000000 -56819
10730.100000 -56960
10730.200000 -56585
10730.300000 -56725
10730.400000 -56678
10730.500000 -56678
10730.600000 -57007
10730.700000 -56632
10730.800000 -57274
10730.900000 -56711
10731.000000 -56621
10731.100000 -56621
10731.200000 -56715
10731.300000 -56668
10731.400000 -56856
10731.500000 -56809
10731.600000 -56762
10731.700000 -56574
10731.800000 -57137
10731.900000 -56809
10732.000000 -56953
10732.100000 -56813
10732.200000 -56907
10732.300000 -56953
10732.400000 -56672
10732.500000 -57235
10732.600000 -56813
10732.700000 -56953
10732.800000 -56625
10732.900000 -56953
10733.000000 -57329
10733.100000 -56298
10733.200000 -56861
10733.300000 -56673
10733.400000 -56486
10733.500000 -56814
10733.600000 -57658
10733.700000 -56720
10733.800000 -56908
10733.900000 -56579
10734.000000 -56537
10734.100000 -57146
10734.200000 -56677
10734.300000 -56818
10734.400000 -56818
10734.500000 -56771
10734.600000 -56865
10734.700000 -57099
10734.800000 -56677
10734.900000 -56771
10735.000000 -57337
10735.100000 -56822
10735.200000 -56962
10735.300000 -56869
10735.400000 -56822
10735.500000 -56681
10735.600000 -57197
10735.700000 -57009
10735.800000 -56587
10735.900000 -56822
10736.000000 -57011
10736.100000 -57199
10736.200000 -57152
10736.300000 -57293
10736.400000 -57058
10736.500000 -56683
10736.600000 -56777
10736.700000 -57339
10736.800000 -57105
10736.900000 -56871
10737.000000 -56922
10737.100000 -56687
10737.200000 -56687
10737.300000 -56922
10737.400000 -56640
10737.500000 -57390
10737.600000 -56734
10737.700000 -56968
10737.800000 -56781
10737.900000 -56828
10738.000000 -56831
10738.100000 -56925
10738.200000 -56971
10738.300000 -56737
10738.400000 -56878
10738.500000 -56503
10738.600000 -57300
10738.700000 -56925
10738.800000 -56831
10738.900000 -56878
10739.000000 -56692
10739.100000 -56692
10739.200000 -56739
10739.300000 -56833
10739.400000 -56692
10739.500000 -57442
10739.600000 -56927
10739.700000 -56645
10739.800000 -56505
10739.900000 -57255
10740.000000 -57165
10740.100000 -56556
10740.200000 -56931
10740.300000 -56931
10740.400000 -56649
10740.500000 -56649
10740.600000 -57259
10740.700000 -57165
10740.800000 -57165
10740.900000 -57774
10741.000000 -57122
10741.100000 -57122
10741.200000 -57263
10741.300000 -57638
10741.400000 -56935
10741.500000 -56794
10741.600000 -56888
10741.700000 -56981
10741.800000 -56794
10741.900000 -56700
10742.000000 -57499
10742.100000 -56937
10742.200000 -56749
10742.300000 -56937
10742.400000 -56515
10742.500000 -56983
10742.600000 -57546
10742.700000 -56796
10742.800000 -56562
10742.900000 -57405
10743.000000 -56658
10743.100000 -56940
10743.200000 -57268
10743.300000 -56565
10743.400000 -57502
10743.500000 -57408
10743.600000 -57174
10743.700000 -57174
10743.800000 -56611
10743.900000 -57268
10744.000000 -56662
10744.100000 -56850
10744.200000 -56850
10744.300000 -56803
10744.400000 -57272
10744.500000 -56803
10744.600000 -56569
10744.700000 -56944
10744.800000 -56990
10744.900000 -57225
10745.000000 -57602
10745.100000 -57086
10745.200000 -57461
10745.300000 -57555
10745.400000 -56946
10745.500000 -57227
10745.600000 -56899
10745.700000 -57180
10745.800000 -56899
10745.900000 -56992
10746.000000 -56971
10746.100000 -56971
10746.200000 -56971
10746.300000 -56971
10746.400000 -56971
10746.500000 -56950
10746.600000 -56668
10746.700000 -56996
10746.800000 -57371
10746.900000 -57606
10747.000000 -56671
10747.100000 -56671
10747.200000 -56859
10747.300000 -56859
10747.400000 -56906
10747.500000 -56859
10747.600000 -56906
10747.700000 -56953
10747.800000 -57046
10747.900000 -56859
10748.000000 -57376
10748.100000 -57283
10748.200000 -56955
10748.300000 -56673
10748.400000 -56955
10748.500000 -56908
10748.600000 -57236
10748.700000 -56908
10748.800000 -56955
10748.900000 -56908
10749.000000 -56912
10749.100000 -57099
10749.200000 -57099
10749.300000 -57193
10749.400000 -57099
10749.500000 -57287
