10700.000000 -57329
10700.100000 -56861
10700.200000 -56861
10700.300000 -56861
10700.400000 -56533
10700.500000 -56954
10700.600000 -56767
10700.700000 -57329
10700.800000 -56954
10700.900000 -56954
10701.000000 -57615
10701.100000 -57708
10701.200000 -56677
10701.300000 -57193
10701.400000 -57146
10701.500000 -57427
10701.600000 -56958
10701.700000 -56958
10701.800000 -56865
10701.900000 -57240
10702.000000 -57572
10702.100000 -57244
10702.200000 -57525
10702.300000 -57244
10702.400000 -57431
10702.500000 -57197
10702.600000 -57291
10702.700000 -57009
10702.800000 -57056
10702.900000 -57431
10703.000000 -57105
10703.100000 -56964
10703.200000 -57058
10703.300000 -57574
10703.400000 -56589
10703.500000 -57433
10703.600000 -56964
10703.700000 -57105
10703.800000 -57246
10703.900000 -57152
10704.000000 -56968
10704.100000 -56828
10704.200000 -56968
10704.300000 -57156
10704.400000 -57062
10704.500000 -56875
10704.600000 -56922
10704.700000 -57015
10704.800000 -56734
10704.900000 -56968
10705.000000 -56972
10705.100000 -57019
10705.200000 -56738
10705.300000 -57066
10705.400000 -56551
10705.500000 -56785
10705.600000 -56926
10705.700000 -57113
10705.800000 -56879
10705.900000 -57019
10706.000000 -56928
10706.100000 -57162
10706.200000 -56928
10706.300000 -57209
10706.400000 -56974
10706.500000 -56740
10706.600000 -56834
10706.700000 -57021
10706.800000 -56974
10706.900000 -56740
10707.000000 -56603
10707.100000 -56791
10707.200000 -56697
10707.300000 -56838
10707.400000 -56838
10707.500000 -56791
10707.600000 -56791
10707.700000 -56791
10707.800000 -56791
10707.900000 -56557
10708.000000 -56936
10708.100000 -56889
10708.200000 -57264
10708.300000 -57170
10708.400000 -56467
10708.500000 -56842
10708.600000 -56795
10708.700000 -56701
10708.800000 -56982
10708.900000 -56748
10709.000000 -56750
10709.100000 -57078
10709.200000 -56375
10709.300000 -56844
10709.400000 -57219
10709.500000 -56609
10709.600000 -56984
10709.700000 -56656
10709.800000 -57547
10709.900000 -56516
10710.000000 -56613
10710.100000 -56801
10710.200000 -56426
10710.300000 -56707
10710.400000 -56613
10710.500000 -56332
10710.600000 -56942
10710.700000 -56942
10710.800000 -56801
10710.900000 -56707
10711.000000 -56899
10711.100000 -56805
10711.200000 -56617
10711.300000 -57039
10711.400000 -56711
10711.500000 -56664
10711.600000 -56383
10711.700000 -56852
10711.800000 -57133
10711.900000 -57039
10712.000000 -56713
10712.100000 -57182
10712.200000 -56901
10712.300000 -56807
10712.400000 -56760
10712.500000 -56854
10712.600000 -56526
10712.700000 -56994
10712.800000 -56901
10712.900000 -56573
10713.000000 -56998
10713.100000 -56858
10713.200000 -56858
10713.300000 -56436
10713.400000 -56998
10713.500000 -56998
10713.600000 -56577
10713.700000 -56858
10713.800000 -56717
10713.900000 -56389
10714.000000 -56627
10714.100000 -56721
10714.200000 -56768
10714.300000 -56862
10714.400000 -56909
10714.500000 -56815
10714.600000 -56487
10714.700000 -56299
10714.800000 -56534
10714.900000 -56440
10715.000000 -56676
10715.100000 -56770
10715.200000 -56746
10715.300000 -56746
10715.400000 -56746
10715.500000 -56746
10715.600000 -56746
10715.700000 -56723
10715.800000 -56395
10715.900000 -56629
10716.000000 -57008
10716.100000 -56821
10716.200000 -56821
10716.300000 -56774
10716.400000 -56868
10716.500000 -56915
10716.600000 -56821
10716.700000 -56587
10716.800000 -56868
10716.900000 -56633
10717.000000 -56591
10717.100000 -56731
10717.200000 -57012
10717.300000 -56778
10717.400000 -56637
10717.500000 -56544
10717.600000 -56637
10717.700000 -56637
10717.800000 -56403
10717.900000 -56356
10718.000000 -56405
10718.100000 -57108
10718.200000 -56452
10718.300000 -56686
10718.400000 -56968
10718.500000 -57061
10718.600000 -56499
10718.700000 -57061
10718.800000 -56827
10718.900000 -56780
10719.000000 -56971
10719.100000 -56830
10719.200000 -56361
10719.300000 -57017
10719.400000 -56642
10719.500000 -56549
10719.600000 -56502
10719.700000 -56689
10719.800000 -56408
10719.900000 -56502
10720.000000 -56881
10720.100000 -56412
10720.200000 -55896
10720.300000 -56600
10720.400000 -56740
10720.500000 -56365
10720.600000 -56365
10720.700000 -56881
10720.800000 -56787
10720.900000 -56506
10721.000000 -56414
10721.100000 -56508
10721.200000 -56273
10721.300000 -56320
10721.400000 -56977
10721.500000 -56742
10721.600000 -56742
10721.700000 -56555
10721.800000 -56414
10721.900000 -56836
10722.000000 -56746
10722.100000 -56465
10722.200000 -56559
10722.300000 -56606
10722.400000 -56090
10722.500000 -56746
10722.600000 -56746
10722.700000 -57262
10722.800000 -56465
10722.900000 -56277
10723.000000 -56656
10723.100000 -56891
10723.200000 -56375
10723.300000 -56750
10723.400000 -56469
10723.500000 -56563
10723.600000 -56469
10723.700000 -56328
10723.800000 -56328
10723.900000 -56281
10724.000000 -56705
10724.100000 -56846
10724.200000 -56377
10724.300000 -56330
10724.400000 -56565
10724.500000 -56471
10724.600000 -56283
10724.700000 -56565
10724.800000 -56377
10724.900000 -56002
10725.000000 -56428
10725.100000 -56100
10725.200000 -56006
10725.300000 -56147
10725.400000 -56287
10725.500000 -56381
10725.600000 -56428
10725.700000 -56709
10725.800000 -56194
10725.900000 -56006
